Temps;Déplacement;Charge
(s);(mm);(N)
"0,00000";"0,00000";"6,39242"
"0,10000";"0,00269";"25,09809"
"0,20000";"0,01040";"76,57439"
"0,30000";"0,01842";"88,85593"
"0,40000";"0,02601";"98,59830"
"0,50000";"0,03318";"107,87816"
"0,60000";"0,03988";"118,60782"
"0,70000";"0,04676";"133,10725"
"0,80000";"0,05345";"146,98058"
"0,90000";"0,05997";"164,27480"
"1,00000";"0,06684";"74,12499"
"1,10000";"0,07348";"104,66399"
"1,20000";"0,08006";"121,61458"
"1,30000";"0,08693";"137,27226"
"1,40000";"0,09339";"153,08270"
"1,50000";"0,10009";"169,80203"
"1,60000";"0,10696";"196,23453"
"1,70000";"0,11330";"239,08240"
"1,80000";"0,12012";"294,45508"
"1,90000";"0,12681";"358,55127"
"2,00000";"0,13339";"432,16544"
"2,10000";"0,14021";"515,82367"
"2,20000";"0,14678";"601,22534"
"2,30000";"0,15336";"694,40155"
"2,40000";"0,16018";"792,90356"
"2,50000";"0,16663";"885,60626"
"2,60000";"0,17333";"931,32190"
"2,70000";"0,18021";"1035,89685"
"2,80000";"0,18672";"1127,95508"
"2,90000";"0,19342";"1215,77185"
"3,00000";"0,20018";"1308,00598"
"3,10000";"0,20669";"1389,93188"
"3,20000";"0,21345";"1483,01526"
"3,30000";"0,21997";"1564,73315"
"3,40000";"0,22660";"1647,85034"
"3,50000";"0,23348";"1738,68408"
"3,60000";"0,24005";"1817,44043"
"3,70000";"0,24669";"1895,63147"
"3,80000";"0,25357";"1981,87488"
"3,90000";"0,26008";"2056,65967"
"4,00000";"0,26672";"2137,31030"
"4,10000";"0,27354";"2217,67334"
"4,20000";"0,27999";"2290,74487"
"4,30000";"0,28675";"2370,79150"
"4,40000";"0,29351";"2444,94043"
"4,50000";"0,30002";"2517,57153"
"4,60000";"0,30684";"2596,60010"
"4,70000";"0,31348";"2667,71680"
"4,80000";"0,31993";"2737,03516"
"4,90000";"0,32687";"2815,44556"
"5,00000";"0,33333";"2881,06567"
"5,10000";"0,34002";"2953,48340"
"5,20000";"0,34696";"3025,47119"
"5,30000";"0,35336";"3087,65430"
"5,40000";"0,36011";"3159,73877"
"5,50000";"0,36681";"3221,61792"
"5,60000";"0,37333";"3285,51465"
"5,70000";"0,38014";"3353,52344"
"5,80000";"0,38678";"3414,88037"
"5,90000";"0,39330";"3475,32153"
"6,00000";"0,40023";"3543,62402"
"6,10000";"0,40669";"3597,78247"
"6,20000";"0,41332";"3660,22998"
"6,30000";"0,42026";"3714,13501"
"6,40000";"0,42666";"3775,32056"
"6,50000";"0,43341";"3835,87817"
"6,60000";"0,44011";"3896,16162"
"6,70000";"0,44663";"3950,22412"
"6,80000";"0,45350";"4016,60083"
"6,90000";"0,46008";"4071,00928"
"7,00000";"0,46672";"4128,05029"
"7,10000";"0,47353";"4191,98291"
"7,20000";"0,48011";"4247,48779"
"7,30000";"0,48669";"4306,41699"
"7,40000";"0,49356";"4367,69043"
"7,50000";"0,49996";"4417,65576"
"7,60000";"0,50666";"4477,86182"
"7,70000";"0,51359";"4536,50342"
"7,80000";"0,51999";"4587,02539"
"7,90000";"0,52681";"4643,67041"
"8,00000";"0,53356";"4698,87256"
"8,10000";"0,54002";"4749,42969"
"8,20000";"0,54689";"4810,72119"
"8,30000";"0,55341";"4859,76416"
"8,40000";"0,55999";"4913,81299"
"8,50000";"0,56692";"4973,20801"
"8,60000";"0,57344";"5020,37354"
"8,70000";"0,58002";"5074,73047"
"8,80000";"0,58689";"5128,77344"
"8,90000";"0,59335";"5174,10693"
"9,00000";"0,60005";"5228,93311"
"9,10000";"0,60680";"5276,38330"
"9,20000";"0,61332";"5319,82861"
"9,30000";"0,62020";"5372,10938"
"9,40000";"0,62677";"5408,51709"
"9,50000";"0,63341";"5451,93262"
"9,60000";"0,64029";"5493,76172"
"9,70000";"0,64674";"5521,86670"
"9,80000";"0,65338";"5556,16943"
"9,90000";"0,66026";"5586,34082"
"10,00000";"0,66665";"5605,13037"
"10,10000";"0,67341";"5631,98633"
"10,20000";"0,68022";"5649,82080"
"10,30000";"0,68668";"5663,11816"
"10,40000";"0,69350";"5685,90479"
"10,50000";"0,70013";"5691,56104"
"10,60000";"0,70671";"5705,51855"
"10,70000";"0,71353";"5723,39941"
"10,80000";"0,72004";"5727,87842"
"10,90000";"0,72674";"5743,21924"
"11,00000";"0,73362";"5757,00537"
"11,10000";"0,74001";"5766,21680"
"11,20000";"0,74677";"5778,57129"
"11,30000";"0,75365";"5789,49463"
"11,40000";"0,76004";"5795,31738"
"11,50000";"0,76680";"5812,96680"
"11,60000";"0,77344";"5816,26416"
"11,70000";"0,78001";"5781,46875"
"11,80000";"0,78689";"5835,38623"
"11,90000";"0,79347";"5854,21289"
"12,00000";"0,80010";"5869,42480"
"12,10000";"0,80698";"5886,09180"
"12,20000";"0,81338";"5891,91309"
"12,30000";"0,82007";"5912,45752"
"12,40000";"0,82689";"5929,83984"
"12,50000";"0,83335";"5946,56299"
"12,60000";"0,84010";"5976,69824"
"12,70000";"0,84686";"6001,02490"
"12,80000";"0,85338";"5953,76367"
"12,90000";"0,86019";"6027,45264"
"13,00000";"0,86683";"6068,85547"
"13,10000";"0,87335";"6093,90283"
"13,20000";"0,88022";"6127,47461"
"13,30000";"0,88668";"6153,86377"
"13,40000";"0,89337";"6186,07910"
"13,50000";"0,90025";"6210,73047"
"13,60000";"0,90671";"6236,25146"
"13,70000";"0,91346";"6280,98193"
"13,80000";"0,92022";"6314,08838"
"13,90000";"0,92668";"6341,49170"
"14,00000";"0,93343";"6375,30762"
"14,10000";"0,93995";"6392,27637"
"14,20000";"0,94671";"6426,77930"
"14,30000";"0,95358";"6461,01660"
"14,40000";"0,96004";"6483,20703"
"14,50000";"0,96668";"6514,78613"
"14,60000";"0,97355";"6543,82324"
"14,70000";"0,97995";"6566,51123"
"14,80000";"0,98671";"6588,26953"
"14,90000";"0,99352";"6638,40771"
"15,00000";"0,99998";"6675,67188"
"15,10000";"1,00686";"6726,06396"
"15,20000";"1,01343";"6757,68652"
"15,30000";"1,01989";"6804,91553"
"15,40000";"1,02694";"6864,48975"
"15,50000";"1,03328";"6904,33301"
"15,60000";"1,03998";"6951,50342"
"15,70000";"1,04685";"7004,08057"
"15,80000";"1,05331";"7049,63721"
"15,90000";"1,06007";"7103,74658"
"16,00000";"1,06694";"7150,30225"
"16,10000";"1,07340";"7196,42480"
"16,20000";"1,08016";"7248,83252"
"16,30000";"1,08685";"7296,99268"
"16,40000";"1,09337";"7343,97998"
"16,50000";"1,10019";"7398,35645"
"16,60000";"1,10670";"7442,24658"
"16,70000";"1,11340";"7494,99268"
"16,80000";"1,12028";"7549,34863"
"16,90000";"1,12673";"7594,34326"
"17,00000";"1,13337";"7652,04199"
"17,10000";"1,14025";"7707,24121"
"17,20000";"1,14664";"7753,88916"
"17,30000";"1,15334";"7813,71436"
"17,40000";"1,16022";"7867,43555"
"17,50000";"1,16667";"7916,79834"
"17,60000";"1,17349";"7978,76270"
"17,70000";"1,18018";"8030,65723"
"17,80000";"1,18676";"8083,31152"
"17,90000";"1,19358";"8145,11084"
"18,00000";"1,20003";"8193,10156"
"18,10000";"1,20673";"8249,95117"
"18,20000";"1,21355";"8308,55664"
"18,30000";"1,22000";"8356,25781"
"18,40000";"1,22670";"8417,83691"
"18,50000";"1,23358";"8472,64355"
"18,60000";"1,24003";"8522,08203"
"18,70000";"1,24685";"8584,00586"
"18,80000";"1,25349";"8634,22168"
"18,90000";"1,26000";"8685,48926"
"19,00000";"1,26682";"8747,28223"
"19,10000";"1,27340";"8794,33008"
"19,20000";"1,28009";"8851,47070"
"19,30000";"1,28697";"8908,67090"
"19,40000";"1,29337";"8956,23535"
"19,50000";"1,30012";"9015,01953"
"19,60000";"1,30688";"9066,70898"
"19,70000";"1,31328";"9115,34180"
"19,80000";"1,32003";"9174,44531"
"19,90000";"1,32679";"9223,86914"
"20,00000";"1,33337";"9274,14258"
"20,10000";"1,34024";"9334,56445"
"20,20000";"1,34682";"9381,34082"
"20,30000";"1,35339";"9438,59668"
"20,40000";"1,36021";"9497,93164"
"20,50000";"1,36667";"9549,08691"
"20,60000";"1,37336";"9611,90527"
"20,70000";"1,38000";"9669,57812"
"20,80000";"1,38664";"9724,64844"
"20,90000";"1,39351";"9790,47363"
"21,00000";"1,40021";"9845,84961"
"21,10000";"1,40667";"9900,10156"
"21,20000";"1,41354";"9972,16895"
"21,30000";"1,42012";"10020,53320"
"21,40000";"1,42670";"10085,17383"
"21,50000";"1,43351";"10148,26367"
"21,60000";"1,44009";"10205,59473"
"21,70000";"1,44673";"10264,76172"
"21,80000";"1,45360";"10332,21875"
"21,90000";"1,46000";"10383,44531"
"22,00000";"1,46676";"10449,77930"
"22,10000";"1,47351";"10511,22363"
"22,20000";"1,47997";"10566,00098"
"22,30000";"1,48679";"10637,17969"
"22,40000";"1,49342";"10690,84570"
"22,50000";"1,50000";"10753,30664"
"22,60000";"1,50681";"10820,60840"
"22,70000";"1,51339";"10874,58887"
"22,80000";"1,52003";"10938,49902"
"22,90000";"1,52690";"11003,59375"
"23,00000";"1,53336";"11058,67285"
"23,10000";"1,54006";"11123,71191"
"23,20000";"1,54687";"11186,25879"
"23,30000";"1,55327";"11240,53809"
"23,40000";"1,56015";"11311,57227"
"23,50000";"1,56678";"11367,90137"
"23,60000";"1,57330";"11428,27148"
"23,70000";"1,58018";"11497,91992"
"23,80000";"1,58669";"11551,46582"
"23,90000";"1,59333";"11618,63770"
"24,00000";"1,60015";"11682,79688"
"24,10000";"1,60666";"11739,59570"
"24,20000";"1,61342";"11808,27051"
"24,30000";"1,62024";"11868,15918"
"24,40000";"1,62663";"11926,19141"
"24,50000";"1,63345";"11996,69336"
"24,60000";"1,64015";"12056,65918"
