Temps;Déplacement;Charge
(s);(mm);(N)
"0,00000";"0,00000";"4,46846"
"0,10000";"0,00233";"21,16808"
"0,20000";"0,01016";"199,38811"
"0,30000";"0,01830";"410,86456"
"0,40000";"0,02589";"590,84778"
"0,50000";"0,03318";"583,15210"
"0,60000";"0,03988";"723,85907"
"0,70000";"0,04670";"767,07111"
"0,80000";"0,05357";"885,00482"
"0,90000";"0,06003";"964,13605"
"1,00000";"0,06678";"1037,25256"
"1,10000";"0,07354";"1112,07849"
"1,20000";"0,07994";"1173,34485"
"1,30000";"0,08675";"1239,07983"
"1,40000";"0,09351";"1305,17688"
"1,50000";"0,10003";"1367,25964"
"1,60000";"0,10684";"1429,83899"
"1,70000";"0,11348";"1489,06714"
"1,80000";"0,12006";"1539,70984"
"1,90000";"0,12681";"1606,46997"
"2,00000";"0,13339";"1664,46045"
"2,10000";"0,14009";"1716,66443"
"2,20000";"0,14684";"1780,00708"
"2,30000";"0,15330";"1836,14844"
"2,40000";"0,16012";"1890,46204"
"2,50000";"0,16687";"1949,02795"
"2,60000";"0,17333";"2000,85828"
"2,70000";"0,18015";"2059,99121"
"2,80000";"0,18678";"2115,99536"
"2,90000";"0,19324";"2161,69385"
"3,00000";"0,20018";"2226,34497"
"3,10000";"0,20675";"2279,06641"
"3,20000";"0,21339";"2321,92188"
"3,30000";"0,22026";"2389,34595"
"3,40000";"0,22672";"2439,48730"
"3,50000";"0,23342";"2484,00317"
"3,60000";"0,24017";"2546,16675"
"3,70000";"0,24657";"2600,92773"
"3,80000";"0,25345";"2647,35864"
"3,90000";"0,26014";"2701,81567"
"4,00000";"0,26666";"2757,96997"
"4,10000";"0,27360";"2809,46362"
"4,20000";"0,28011";"2856,68970"
"4,30000";"0,28669";"2912,62622"
"4,40000";"0,29351";"2965,41187"
"4,50000";"0,30002";"3007,74976"
"4,60000";"0,30672";"3070,19800"
"4,70000";"0,31354";"3119,02344"
"4,80000";"0,31999";"3161,66553"
"4,90000";"0,32681";"3225,29736"
"5,00000";"0,33351";"3271,01245"
"5,10000";"0,33996";"3316,43677"
"5,20000";"0,34684";"3379,97559"
"5,30000";"0,35342";"3416,98853"
"5,40000";"0,35999";"3461,21680"
"5,50000";"0,36687";"3527,10034"
"5,60000";"0,37339";"3574,28711"
"5,70000";"0,38002";"3626,63892"
"5,80000";"0,38690";"3679,14478"
"5,90000";"0,39336";"3728,51196"
"6,00000";"0,40011";"3783,14331"
"6,10000";"0,40681";"3834,01440"
"6,20000";"0,41332";"3887,15967"
"6,30000";"0,42014";"3944,52246"
"6,40000";"0,42678";"3996,42554"
"6,50000";"0,43335";"4049,08740"
"6,60000";"0,44017";"4102,65869"
"6,70000";"0,44675";"4158,97949"
"6,80000";"0,45332";"4209,67139"
"6,90000";"0,46020";"4262,40625"
"7,00000";"0,46660";"4325,14551"
"7,10000";"0,47335";"4366,14258"
"7,20000";"0,48017";"4418,33008"
"7,30000";"0,48669";"4489,08350"
"7,40000";"0,49350";"4527,84814"
"7,50000";"0,50014";"4579,85791"
"7,60000";"0,50666";"4654,01855"
"7,70000";"0,51353";"4678,65576"
"7,80000";"0,52005";"4744,12793"
"7,90000";"0,52663";"4816,22656"
"8,00000";"0,53350";"4841,13086"
"8,10000";"0,54008";"4921,22705"
"8,20000";"0,54672";"4972,32520"
"8,30000";"0,55359";"5030,66602"
"8,40000";"0,55999";"5079,26172"
"8,50000";"0,56680";"5128,11523"
"8,60000";"0,57344";"5210,73535"
"8,70000";"0,57996";"5232,01660"
"8,80000";"0,58683";"5289,10547"
"8,90000";"0,59341";"5375,54004"
"9,00000";"0,60005";"5387,89502"
"9,10000";"0,60686";"5461,14648"
"9,20000";"0,61338";"5536,82324"
"9,30000";"0,62002";"5562,54297"
"9,40000";"0,62677";"5648,08789"
"9,50000";"0,63329";"5689,73730"
"9,60000";"0,64011";"5772,46973"
"9,70000";"0,64686";"5812,83740"
"9,80000";"0,65332";"5847,33203"
"9,90000";"0,66002";"5956,35645"
"10,00000";"0,66683";"5966,27490"
"10,10000";"0,67329";"6031,46240"
"10,20000";"0,68022";"6126,71729"
"10,30000";"0,68668";"6142,06885"
"10,40000";"0,69338";"6238,84229"
"10,50000";"0,70025";"6287,24023"
"10,60000";"0,70671";"6368,44629"
"10,70000";"0,71341";"6399,13916"
"10,80000";"0,72016";"6422,87939"
"10,90000";"0,72668";"6537,66602"
"11,00000";"0,73350";"6548,16016"
"11,10000";"0,74007";"6646,88135"
"11,20000";"0,74665";"6652,68848"
"11,30000";"0,75353";"6780,82568"
"11,40000";"0,76010";"6783,61133"
"11,50000";"0,76668";"6879,79980"
"11,60000";"0,77356";"6941,44238"
"11,70000";"0,78001";"7022,00439"
"11,80000";"0,78671";"7054,63672"
"11,90000";"0,79353";"7039,48975"
"12,00000";"0,79998";"7174,80762"
"12,10000";"0,80674";"7246,13525"
"12,20000";"0,81344";"7285,49756"
"12,30000";"0,82001";"7245,32031"
"12,40000";"0,82683";"7403,37891"
"12,50000";"0,83341";"7499,54346"
"12,60000";"0,83998";"7519,32764"
"12,70000";"0,84686";"7527,98975"
"12,80000";"0,85332";"7622,68896"
"12,90000";"0,86001";"7746,09668"
"13,00000";"0,86689";"7733,31055"
"13,10000";"0,87335";"7864,31299"
"13,20000";"0,88010";"7878,37061"
"13,30000";"0,88686";"7999,03564"
"13,40000";"0,89337";"7985,03174"
"13,50000";"0,90013";"8125,69336"
"13,60000";"0,90677";"8061,94189"
"13,70000";"0,91334";"8215,15137"
"13,80000";"0,92028";"8268,12109"
"13,90000";"0,92674";"8331,22168"
"14,00000";"0,93337";"8385,93359"
"14,10000";"0,94025";"8474,97656"
"14,20000";"0,94665";"8576,28906"
"14,30000";"0,95334";"8599,85840"
"14,40000";"0,96010";"8692,92188"
"14,50000";"0,96668";"8653,90137"
"14,60000";"0,97349";"8807,13867"
"14,70000";"0,98013";"8776,75781"
"14,80000";"0,98671";"8892,76367"
"14,90000";"0,99352";"9025,72754"
"15,00000";"1,00004";"9019,44238"
"15,10000";"1,00668";"9157,38086"
"15,20000";"1,01355";"9142,52148"
"15,30000";"1,02007";"9287,45020"
"15,40000";"1,02671";"9184,77148"
"15,50000";"1,03352";"9357,72168"
"15,60000";"1,03992";"9481,33105"
"15,65800";"1,04404";"9227,80566"
"15,75800";"1,05056";"9319,12305"
"15,85800";"1,05732";"9505,89062"
"15,95800";"1,06395";"9646,56250"
"16,05800";"1,07047";"9543,60547"
"16,15800";"1,07735";"9730,53613"
"16,25800";"1,08386";"9858,48926"
"16,35800";"1,09056";"9961,61816"
"16,45800";"1,09738";"10036,69922"
"16,55800";"1,10389";"10117,37695"
"16,65800";"1,11059";"10220,20801"
"16,75800";"1,11741";"10176,20996"
"16,85800";"1,12386";"10241,74023"
"16,95800";"1,13062";"10397,64160"
"17,05800";"1,13744";"10164,71582"
"17,15800";"1,14389";"10371,41211"
"17,25800";"1,15071";"10537,17480"
"17,35800";"1,15729";"10657,73535"
"17,45800";"1,16392";"10684,38672"
"17,55800";"1,17074";"10820,37891"
"17,65800";"1,17720";"10874,03711"
"17,75800";"1,18389";"10996,88965"
"17,85000";"1,19017";"10742,11621"
"17,95000";"1,19663";"10897,44238"
"18,05000";"1,20350";"11084,63379"
"18,15000";"1,21014";"11214,82910"
"18,19600";"1,21331";"10958,28320"
"18,29600";"1,21983";"11081,94629"
"18,39600";"1,22640";"11257,68750"
"18,49600";"1,23322";"11404,63965"
"18,59600";"1,23968";"11514,63184"
"18,69600";"1,24637";"11570,76367"
"18,79600";"1,25307";"11698,20996"
"18,89600";"1,25976";"11694,37305"
"18,99600";"1,26652";"11851,38867"
"19,09600";"1,27328";"11620,52637"
"19,19600";"1,27979";"11666,61816"
"19,29600";"1,28655";"11862,17480"
"19,39600";"1,29313";"12030,16797"
"19,49600";"1,29970";"12123,40820"
"19,53400";"1,30233";"11869,79590"
"19,63400";"1,30903";"12054,59570"
"19,73400";"1,31585";"12223,76758"
"19,83400";"1,32224";"12364,07910"
"19,93400";"1,32900";"12489,32715"
"20,03400";"1,33576";"12557,04590"
"20,13400";"1,34215";"12679,71875"
"20,23400";"1,34909";"12766,27051"
"20,33400";"1,35573";"12878,87109"
"20,39400";"1,35979";"12622,00195"
"20,49400";"1,36649";"12677,06055"
"20,59400";"1,37295";"12866,63672"
"20,69400";"1,37976";"13032,04102"
"20,79400";"1,38628";"12860,31738"
"20,89400";"1,39292";"12896,88086"
"20,99400";"1,39979";"13088,73926"
"21,09400";"1,40625";"13247,37793"
"21,19400";"1,41295";"13391,09570"
"21,29400";"1,41982";"13503,10742"
"21,39400";"1,42622";"13580,08984"
"21,49400";"1,43303";"13711,89648"
"21,59400";"1,43973";"13790,68945"
"21,69400";"1,44625";"13910,60352"
"21,77600";"1,45193";"13658,83496"
"21,87600";"1,45839";"13824,58203"
"21,97600";"1,46514";"14003,08301"
"22,07600";"1,47196";"14144,71875"
"22,12800";"1,47531";"13875,37402"
"22,22800";"1,48206";"13905,46289"
"22,32800";"1,48852";"14099,75781"
"22,42800";"1,49534";"14276,35059"
"22,52800";"1,50191";"14416,75293"
"22,62800";"1,50849";"14495,13477"
"22,72800";"1,51536";"14595,18652"
"22,82800";"1,52188";"14726,19629"
"22,92800";"1,52852";"14839,30371"
"23,02800";"1,53539";"14940,47168"
"23,12800";"1,54191";"14842,63965"
"23,22800";"1,54861";"15022,44922"
"23,32800";"1,55536";"15165,15625"
"23,42800";"1,56188";"15032,09961"
"23,52800";"1,56870";"14981,07715"
"23,62800";"1,57533";"15170,40137"
"23,72800";"1,58185";"15345,42578"
"23,82800";"1,58873";"15496,99414"
"23,86000";"1,59076";"15216,82715"
"23,88600";"1,59249";"14960,49902"
"23,98600";"1,59931";"15161,05566"
"24,08600";"1,60583";"15354,39941"
"24,18600";"1,61234";"15542,75488"
"24,28600";"1,61922";"15705,37500"
"24,38600";"1,62568";"15843,34375"
"24,48600";"1,63237";"15957,55957"
"24,58600";"1,63925";"16073,34766"
"24,68600";"1,64571";"16199,66211"
"24,78600";"1,65252";"16312,62500"
"24,88600";"1,65922";"16401,54492"
"24,96000";"1,66406";"16132,94629"
"25,06000";"1,67088";"16171,26660"
"25,16000";"1,67727";"16364,96680"
"25,26000";"1,68403";"16544,86523"
"25,36000";"1,69079";"16697,46094"
"25,45600";"1,69706";"16438,53711"
"25,47800";"1,69862";"16187,59961"
"25,57800";"1,70532";"16370,44727"
"25,67800";"1,71207";"16576,45312"
"25,77800";"1,71847";"16762,90039"
"25,87800";"1,72529";"16941,37305"
"25,97800";"1,73192";"17081,15430"
"26,07800";"1,73850";"17209,44141"
"26,17800";"1,74537";"17299,29883"
"26,27800";"1,75195";"17436,41406"
"26,37800";"1,75853";"17571,83203"
"26,47800";"1,76534";"17677,68359"
"26,57800";"1,77180";"17752,44141"
"26,60000";"1,77348";"17484,00586"
"26,70000";"1,77999";"17465,71289"
"26,80000";"1,78681";"17671,50977"
"26,90000";"1,79333";"17843,88867"
"27,00000";"1,79996";"18006,98047"
"27,10000";"1,80690";"18145,07227"
"27,12200";"1,80833";"17868,13086"
"27,13800";"1,80941";"17617,80078"
"27,23800";"1,81611";"17682,64844"
"27,33800";"1,82250";"17887,10156"
"27,43800";"1,82932";"18090,65625"
"27,53800";"1,83596";"18265,32031"
"27,63800";"1,84247";"18422,32031"
"27,73800";"1,84935";"18560,56250"
"27,83800";"1,85587";"18612,00586"
"27,93800";"1,86256";"18778,88086"
