Temps;Déplacement;Charge
(s);(mm);(N)
"0,00000";"0,00000";"1,58628"
"0,10000";"0,00275";"12,16589"
"0,20000";"0,00987";"144,78369"
"0,30000";"0,01818";"278,81424"
"0,40000";"0,02595";"383,24295"
"0,50000";"0,03318";"459,93625"
"0,60000";"0,03988";"526,74091"
"0,70000";"0,04682";"594,16583"
"0,80000";"0,05351";"652,87726"
"0,90000";"0,06009";"712,69220"
"1,00000";"0,06696";"776,88672"
"1,10000";"0,07354";"831,86469"
"1,20000";"0,08006";"888,17676"
"1,30000";"0,08699";"947,67352"
"1,40000";"0,09351";"1002,76294"
"1,50000";"0,10021";"1060,17664"
"1,60000";"0,10696";"1116,59827"
"1,70000";"0,11342";"1169,73901"
"1,80000";"0,12024";"1225,79126"
"1,90000";"0,12693";"1280,36621"
"2,00000";"0,13339";"1332,11084"
"2,10000";"0,14033";"1389,64478"
"2,20000";"0,14684";"1439,77795"
"2,30000";"0,15336";"1493,56653"
"2,40000";"0,16030";"1548,92444"
"2,50000";"0,16681";"1598,64355"
"2,60000";"0,17345";"1652,52759"
"2,70000";"0,18027";"1704,65149"
"2,80000";"0,18678";"1754,93896"
"2,90000";"0,19354";"1809,49609"
"3,00000";"0,20018";"1859,24268"
"3,10000";"0,20675";"1909,31970"
"3,20000";"0,21363";"1964,10303"
"3,30000";"0,22014";"2012,81702"
"3,40000";"0,22672";"2063,13867"
"3,50000";"0,23366";"2116,44336"
"3,60000";"0,24005";"2165,52588"
"3,70000";"0,24675";"2216,32300"
"3,80000";"0,25357";"2266,26660"
"3,90000";"0,26008";"2313,08667"
"4,00000";"0,26690";"2365,39648"
"4,10000";"0,27348";"2413,25806"
"4,20000";"0,28011";"2462,25122"
"4,30000";"0,28699";"2515,32788"
"4,40000";"0,29345";"2562,72363"
"4,50000";"0,30008";"2613,27515"
"4,60000";"0,30696";"2667,37646"
"4,70000";"0,31342";"2714,27881"
"4,80000";"0,32011";"2765,77051"
"4,90000";"0,32699";"2818,66577"
"5,00000";"0,33339";"2865,16479"
"5,10000";"0,34014";"2916,74707"
"5,20000";"0,34690";"2968,12866"
"5,30000";"0,35336";"3014,97144"
"5,40000";"0,36023";"3068,34204"
"5,50000";"0,36681";"3114,28125"
"5,60000";"0,37345";"3163,65356"
"5,70000";"0,38032";"3217,49634"
"5,80000";"0,38678";"3264,11304"
"5,90000";"0,39341";"3314,63184"
"6,00000";"0,40029";"3366,68188"
"6,10000";"0,40669";"3414,88281"
"6,20000";"0,41344";"3468,44092"
"6,30000";"0,42026";"3520,89990"
"6,40000";"0,42672";"3568,04395"
"6,50000";"0,43359";"3624,69775"
"6,60000";"0,44011";"3672,02905"
"6,70000";"0,44675";"3722,39014"
"6,80000";"0,45362";"3779,65820"
"6,90000";"0,46008";"3825,90405"
"7,00000";"0,46672";"3880,46143"
"7,10000";"0,47359";"3933,05615"
"7,20000";"0,48005";"3982,32910"
"7,30000";"0,48681";"4037,61719"
"7,40000";"0,49356";"4089,60034"
"7,50000";"0,50008";"4139,77295"
"7,60000";"0,50690";"4197,54004"
"7,70000";"0,51347";"4246,94092"
"7,80000";"0,52005";"4298,08740"
"7,90000";"0,52692";"4354,91748"
"8,00000";"0,53350";"4404,53564"
"8,10000";"0,54014";"4458,87500"
"8,20000";"0,54701";"4516,31885"
"8,30000";"0,55341";"4564,49561"
"8,40000";"0,56017";"4620,69043"
"8,50000";"0,56692";"4677,41162"
"8,60000";"0,57338";"4726,27002"
"8,70000";"0,58020";"4785,53564"
"8,80000";"0,58689";"4836,78076"
"8,90000";"0,59341";"4889,97119"
"9,00000";"0,60029";"4949,07861"
"9,10000";"0,60686";"4998,65918"
"9,20000";"0,61344";"5052,21191"
"9,30000";"0,62026";"5112,79492"
"9,40000";"0,62671";"5159,77344"
"9,50000";"0,63341";"5215,62646"
"9,60000";"0,64029";"5274,16602"
"9,70000";"0,64674";"5324,64209"
"9,80000";"0,65356";"5382,86768"
"9,90000";"0,66032";"5437,69580"
"10,00000";"0,66677";"5488,61719"
"10,10000";"0,67359";"5549,66650"
"10,20000";"0,68017";"5600,77295"
"10,30000";"0,68674";"5654,38965"
"10,40000";"0,69362";"5716,78564"
"10,50000";"0,70013";"5765,33252"
"10,60000";"0,70677";"5823,83887"
"10,70000";"0,71365";"5884,24561"
"10,80000";"0,72010";"5934,55811"
"10,90000";"0,72680";"5995,17578"
"11,00000";"0,73356";"6050,63574"
"11,10000";"0,74007";"6103,80371"
"11,20000";"0,74689";"6166,65039"
"11,30000";"0,75353";"6219,83496"
"11,40000";"0,76004";"6278,19238"
"11,50000";"0,76692";"6341,19189"
"11,60000";"0,77344";"6394,57764"
"11,70000";"0,78007";"6452,59180"
"11,80000";"0,78695";"6514,55811"
"11,90000";"0,79335";"6566,57812"
"12,00000";"0,80010";"6629,17139"
"12,10000";"0,80692";"6689,04346"
"12,20000";"0,81344";"6741,48584"
"12,30000";"0,82019";"6805,94580"
"12,40000";"0,82683";"6859,14551"
"12,50000";"0,83341";"6917,00879"
"12,60000";"0,84028";"6981,35107"
"12,70000";"0,84680";"7032,27246"
"12,80000";"0,85344";"7092,64746"
"12,90000";"0,86031";"7156,85791"
"13,00000";"0,86677";"7208,34277"
