Temps;Déplacement;Charge
(s);(mm);(N)
"0,00000";"0,00000";"33,73169"
"0,10000";"0,00251";"48,12653"
"0,20000";"0,01028";"206,51073"
"0,30000";"0,01842";"359,08862"
"0,40000";"0,02595";"496,07959"
"0,50000";"0,03324";"622,20825"
"0,60000";"0,03994";"713,24585"
"0,70000";"0,04670";"798,79248"
"0,80000";"0,05351";"846,04944"
"0,90000";"0,06009";"835,55688"
"1,00000";"0,06678";"818,34839"
"1,10000";"0,07354";"809,16724"
"1,20000";"0,08006";"794,77374"
"1,30000";"0,08687";"793,55536"
"1,40000";"0,09351";"788,54218"
"1,50000";"0,10003";"785,87634"
"1,60000";"0,10696";"793,08649"
"1,70000";"0,11348";"790,78925"
"1,80000";"0,12000";"793,10229"
"1,90000";"0,12693";"800,86273"
"2,00000";"0,13345";"796,70197"
"2,10000";"0,14015";"800,35992"
"2,20000";"0,14690";"802,78546"
"2,30000";"0,15336";"800,48889"
"2,40000";"0,16018";"805,54199"
"2,50000";"0,16687";"803,98981"
"2,60000";"0,17339";"804,78766"
"2,70000";"0,18027";"811,34967"
"2,80000";"0,18684";"812,46997"
"2,90000";"0,19336";"816,74384"
"3,00000";"0,20029";"828,37958"
"3,10000";"0,20669";"830,24109"
"3,20000";"0,21345";"838,85333"
"3,30000";"0,22026";"849,87384"
"3,40000";"0,22672";"850,01562"
"3,50000";"0,23354";"863,31274"
"3,60000";"0,24011";"870,43121"
"3,70000";"0,24675";"881,16785"
"3,80000";"0,25357";"894,81531"
"3,90000";"0,26008";"903,71289"
"4,00000";"0,26672";"916,38391"
"4,10000";"0,27360";"931,60474"
"4,20000";"0,28005";"942,68292"
"4,30000";"0,28675";"959,09064"
"4,40000";"0,29363";"980,39880"
"4,50000";"0,30002";"991,79065"
"4,60000";"0,30684";"1017,32117"
"4,70000";"0,31342";"1034,73657"
"4,80000";"0,32005";"1054,42078"
"4,90000";"0,32693";"1072,22913"
"5,00000";"0,33345";"1094,62183"
"5,10000";"0,34008";"1128,96204"
"5,20000";"0,34696";"1167,26721"
"5,30000";"0,35336";"1206,58032"
"5,40000";"0,36005";"1257,66833"
"5,50000";"0,36681";"1309,02966"
"5,60000";"0,37333";"1352,72522"
"5,70000";"0,38020";"1420,42957"
"5,80000";"0,38684";"1479,18433"
"5,90000";"0,39341";"1538,37341"
"6,00000";"0,40029";"1605,17969"
"6,10000";"0,40669";"1666,48779"
"6,20000";"0,41338";"1735,06665"
"6,30000";"0,42020";"1805,82214"
"6,40000";"0,42660";"1870,20471"
"6,50000";"0,43341";"1945,61243"
"6,60000";"0,44017";"2013,62036"
"6,70000";"0,44669";"2081,78833"
"6,80000";"0,45356";"2161,28076"
"6,90000";"0,46026";"2237,72607"
"7,00000";"0,46672";"2307,11060"
"7,10000";"0,47353";"2388,55005"
"7,20000";"0,48005";"2458,35205"
"7,30000";"0,48675";"2535,84302"
"7,40000";"0,49362";"2617,66309"
"7,50000";"0,50002";"2688,69165"
"7,60000";"0,50672";"2768,48608"
"7,70000";"0,51359";"2848,17090"
"7,80000";"0,51999";"2920,98608"
"7,90000";"0,52681";"3005,07593"
"8,00000";"0,53350";"3080,58447"
"8,10000";"0,54002";"3157,09253"
"8,20000";"0,54689";"3240,58862"
"8,30000";"0,55347";"3313,95410"
"8,40000";"0,56005";"3392,84351"
"8,50000";"0,56692";"3474,71436"
"8,60000";"0,57338";"3549,23413"
"8,70000";"0,58002";"3629,72534"
"8,80000";"0,58689";"3710,56641"
"8,90000";"0,59329";"3784,72217"
"9,00000";"0,60011";"3868,01611"
"9,10000";"0,60686";"3944,27148"
"9,20000";"0,61332";"4020,57837"
"9,30000";"0,62020";"4102,33936"
"9,40000";"0,62677";"4175,28955"
"9,50000";"0,63335";"4253,77832"
"9,60000";"0,64023";"4335,51807"
"9,70000";"0,64668";"4408,03955"
"9,80000";"0,65338";"4487,35254"
"9,90000";"0,66026";"4567,84033"
"10,00000";"0,66671";"4640,94922"
"10,10000";"0,67347";"4716,05078"
"10,20000";"0,68022";"4794,56152"
"10,30000";"0,68668";"4866,18555"
"10,40000";"0,69344";"4949,81689"
"10,50000";"0,70008";"5021,88672"
"10,60000";"0,70671";"5099,76270"
"10,70000";"0,71353";"5181,89600"
"10,80000";"0,72004";"5253,04688"
"10,90000";"0,72680";"5330,80371"
"11,00000";"0,73362";"5410,41553"
"11,10000";"0,74001";"5479,94727"
"11,20000";"0,74677";"5560,90869"
"11,30000";"0,75353";"5634,38721"
"11,40000";"0,75998";"5706,28369"
"11,50000";"0,76686";"5790,82617"
"11,60000";"0,77356";"5861,20264"
"11,70000";"0,78001";"5932,66357"
"11,80000";"0,78689";"6015,56055"
"11,90000";"0,79335";"6082,13672"
"12,00000";"0,80004";"6163,55518"
"12,10000";"0,80686";"6241,80908"
"12,20000";"0,81332";"6310,26270"
"12,30000";"0,82013";"6390,07666"
"12,40000";"0,82677";"6462,52100"
"12,50000";"0,83335";"6534,27246"
"12,60000";"0,84010";"6613,38135"
"12,70000";"0,84686";"6686,13330"
"12,80000";"0,85332";"6756,29980"
"12,90000";"0,86013";"6836,93945"
"13,00000";"0,86677";"6905,25781"
"13,10000";"0,87335";"6978,99316"
"13,20000";"0,88028";"7058,73584"
"13,30000";"0,88668";"7123,43750"
"13,40000";"0,89343";"7202,16113"
"13,50000";"0,90025";"7274,27979"
"13,60000";"0,90671";"7344,37500"
"13,70000";"0,91340";"7422,09180"
"13,80000";"0,92022";"7492,79053"
"13,90000";"0,92668";"7563,82422"
"14,00000";"0,93349";"7640,84229"
"14,10000";"0,94013";"7709,42041"
"14,20000";"0,94671";"7781,61816"
"14,30000";"0,95358";"7860,59180"
"14,40000";"0,96004";"7926,72949"
"14,50000";"0,96674";"8002,90234"
"14,60000";"0,97361";"8078,28320"
"14,70000";"0,98001";"8143,26270"
"14,80000";"0,98677";"8223,07910"
"14,90000";"0,99352";"8293,77832"
"15,00000";"0,99998";"8362,39160"
"15,10000";"1,00686";"8443,37207"
"15,20000";"1,01343";"8510,54102"
"15,30000";"1,02001";"8584,29102"
"15,40000";"1,02694";"8669,21484"
"15,50000";"1,03334";"8730,87598"
"15,60000";"1,04004";"8810,37207"
"15,70000";"1,04697";"8887,28223"
"15,80000";"1,05337";"8953,86230"
"15,90000";"1,06013";"9032,73438"
"16,00000";"1,06688";"9109,24609"
"16,10000";"1,07334";"9176,43848"
"16,20000";"1,08010";"9257,93652"
"16,30000";"1,08679";"9325,63965"
"16,40000";"1,09337";"9399,58594"
"16,50000";"1,10025";"9477,08984"
"16,60000";"1,10676";"9543,70020"
"16,70000";"1,11346";"9620,15527"
"16,80000";"1,12028";"9696,16406"
"16,90000";"1,12667";"9763,10938"
"17,00000";"1,13331";"9840,41992"
"17,10000";"1,14025";"9914,23145"
"17,20000";"1,14670";"9983,57422"
"17,30000";"1,15346";"10061,06445"
"17,40000";"1,16022";"10132,57324"
"17,50000";"1,16667";"10202,35645"
"17,60000";"1,17355";"10281,96289"
